,AAPL,ADA,AMZN,BNB,BTC,ETH,GOOGL,MSFT,TSLA,XRP
,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
2017-05-05,,,,,,,,,,
2017-05-08,1.02718850698174,,1.0159396242573462,,,,1.0088500231510713,0.9991304347826087,0.9962380411869628,
2017-05-09,1.0337674543501612,,1.0199860836054166,,,,1.0067664267373828,1.0005797101449276,1.0418680071347495,
2017-05-10,1.0288668098818474,,1.015843279987154,,,,1.0047985856800103,1.0044927536231885,1.054710556186152,
2017-05-11,1.033498925886144,,1.014419525772092,,,,1.0059035231721178,0.9921739130434781,1.0478352521485326,
2017-05-12,1.0479323308270678,,1.0291173794358506,,,,1.0051142821063268,0.9910144927536231,1.05338089832982,
2017-05-15,1.045247046186896,,1.0254991168441898,,,,1.0094077535042307,0.9917391304347828,1.0244203016053186,
2017-05-16,1.0437030075187972,,1.0341701011614837,,,,1.0150797659637163,1.0059420289855072,1.0280849683800874,
2017-05-17,1.0086600429645545,,1.0113579189637638,,,,0.9914656732752455,0.9779710144927537,0.9927355278093076,
2017-05-18,1.0240332975295383,,1.0260557726275223,,,,1.0002315107126323,0.9813043478260868,1.0152748500081077,
2017-05-19,1.027524167561762,,1.0275009366804047,,,,1.00459864461001,0.9810144927536231,1.008042808496838,
2017-05-22,1.0337674543501614,,1.0390943638601937,,,,1.0145115123963468,0.9920289855072463,1.006486135884547,
2017-05-23,1.0324919441460798,,1.0400256918053845,,,,1.021330555204782,0.9953623188405796,0.9854386249391925,
2017-05-24,1.0294038668098822,,1.0494567253653053,,,,1.0287599444374294,0.9966666666666665,1.0060645370520513,
2017-05-25,1.03296186895811,,1.063405234705347,,,,1.043755524687461,1.0089855072463767,1.0275012161504784,
2017-05-26,1.0312164339419982,,1.0659744152438044,,,,1.0452392978911482,1.0139130434782606,1.0544511107507704,
2017-05-30,1.031619226638024,,1.0669592677835464,,,,1.0482910300122072,1.0204347826086955,1.0867520674558135,
2017-05-31,1.025510204081633,,1.0647326446502166,,,,1.0387359515090293,1.0121739130434781,1.1059185989946492,
2017-06-01,1.0283297529538138,,1.0661563988652785,,,,1.039998737214295,1.0159420289855068,1.1038430355115942,
2017-06-02,1.043568743286789,,1.0776963014505163,,,,1.0482384139411545,1.0399999999999996,1.102156640181612,
2017-06-05,1.033364661654136,,1.0826312690681368,,,,1.05640442816854,1.0475362318840575,1.1263823577103942,
2017-06-06,1.0368555316863592,,1.0737033666969973,,,,1.048827713936945,1.0510144927536227,1.144316523431166,
2017-06-07,1.0430316863587545,,1.0812717443665365,,,,1.0539946121143244,1.0491304347826083,1.166369385438625,
2017-06-08,1.0404806659505914,,1.0814858427447411,,,,1.0568253567369619,1.0427536231884054,1.1999351386411548,
2017-06-09,1.000134264232009,,1.0472729219076164,,,,1.0208780569937284,1.019130434782608,1.1588130371331282,
2017-06-12,0.9762352309344794,,1.0329283305678958,,,,1.0121332659847624,1.0113043478260864,1.1642938219555703,
2017-06-13,0.9840896885069821,,1.0499277417973558,,,,1.021277939133729,1.0239130434782604,1.2192313928976817,
2017-06-14,0.9744897959183676,,1.0453032168281324,,,,1.0185734730816178,1.0184057971014486,1.2345062429057894,
2017-06-15,0.9686493018259938,,1.032136166568538,,,,1.0104179820684427,1.013043478260869,1.2172531214528948,
2017-06-16,0.9550886143931261,,1.0573355456832414,,,,1.0087763606515971,1.0144927536231878,1.2044754337603376,
2017-06-19,0.9824113856068747,,1.0653214151902797,,,,1.0262448962411077,1.0271014492753618,1.1992865250527003,
2017-06-20,0.9734828141783032,,1.062559546111438,,,,1.019688933787936,1.0131884057971008,1.2071996108318475,
2017-06-21,0.9792561761546729,,1.0728790879409087,,,,1.0297912194300627,1.0184057971014486,1.2206907734717045,
2017-06-22,0.9776450053705698,,1.0718835304822565,,,,1.0277181462305847,1.0182608695652169,1.2408302253932224,
2017-06-23,0.982008592910849,,1.074495530696355,,,,1.037683630087974,1.0320289855072458,1.243554402464732,
2017-06-26,0.9789205155746513,,1.0640475298399616,,,,1.0229511301932062,1.0221739130434777,1.2242257175287827,
2017-06-27,0.9648899033297533,,1.0456350693143501,,,,0.9976954160878898,1.003043478260869,1.175190530241609,
2017-06-28,0.9789876476906557,,1.0601402344377244,,,,1.0112914088479183,1.0115942028985503,1.203956542889574,
2017-06-29,0.9645542427497319,,1.0447251512069797,,,,0.9868880750936565,0.9926086956521735,1.169936760175126,
2017-06-30,0.966836734693878,,1.0362361505111601,,,,0.9783221787262699,0.9989855072463765,1.172725798605481,
2017-07-03,0.9633458646616545,,1.020885296793877,,,,0.9675674538030895,0.9879710144927533,1.1435706178044431,
2017-07-05,0.9673066595059081,,1.0398758229406415,,,,0.9810371679925916,1.0011594202898546,1.0607750932382034,
2017-07-06,0.9581766917293236,,1.0331745437028317,,,,0.976228059098371,0.9937681159420284,1.0015566726122913,
2017-07-07,0.9679108485499468,,1.0477546432585776,,,,0.9900345161426104,1.0066666666666662,1.0157937408788715,
2017-07-10,0.973818474758325,,1.0667130546486114,,,,1.0007576714231594,1.0142028985507243,1.024971623155505,
2017-07-11,0.9769736842105269,,1.0642081036236153,,,,1.003420044618428,1.014347826086956,1.0611966920706988,
2017-07-12,0.9783834586466172,,1.0774607932344913,,,,1.018289346297933,1.0311594202898546,1.0686557483379275,
2017-07-13,0.9920112781954895,,1.0711663009152708,,,,1.0195416087889881,1.0401449275362311,1.0488406032106372,
