,BTC,ETH,BNB,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
,Return %,Return %,Return %,Return %,Return %,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
2017-05-05,,,,,,,,,,
2017-05-08,1.048460738856133,0.9800360393799367,,1.4609894613158487,,1.02718850698174,0.9991304347826087,1.0159396242573462,0.9962380411869628,1.0088500231510713
2017-05-09,1.091337813513434,0.975069717383319,,1.163686871251079,,1.0337674543501612,1.0005797101449276,1.0199860836054166,1.0418680071347495,1.0067664267373828
2017-05-10,1.1215968097235494,0.9851894878793505,,1.3575899559739764,,1.0288668098818474,1.0044927536231885,1.015843279987154,1.054710556186152,1.0047985856800103
2017-05-11,1.1610485968208926,0.9857027488497769,,1.3207299471252532,,1.033498925886144,0.9921739130434781,1.014419525772092,1.0478352521485326,1.0059035231721178
2017-05-12,1.09171974187035,0.9826321199837489,,1.4849245319968378,,1.0479323308270678,0.9910144927536231,1.0291173794358506,1.05338089832982,1.0051142821063268
2017-05-15,1.0475133719866963,0.9875323595848422,,1.7569076854901438,,1.045247046186896,0.9917391304347828,1.0254991168441898,1.0244203016053186,1.0094077535042307
2017-05-16,1.0599794314358844,0.9502954035271187,,2.280002287012147,,1.0437030075187972,1.0059420289855072,1.0341701011614837,1.0280849683800874,1.0150797659637163
2017-05-17,1.1144115520913949,0.9625345928640604,,2.720563051298217,,1.0086600429645545,0.9779710144927537,1.0113579189637638,0.9927355278093076,0.9914656732752455
2017-05-18,1.1668804768203718,1.0543292139056561,,2.4370635484231533,,1.0240332975295383,0.9813043478260868,1.0260557726275223,1.0152748500081077,1.0002315107126323
2017-05-19,1.2184446318147408,1.3329745196201888,,2.294659458952567,,1.027524167561762,0.9810144927536231,1.0275009366804047,1.008042808496838,1.00459864461001
2017-05-22,1.251379876020375,1.380791949345174,,2.1471065906889923,,1.0337674543501614,0.9920289855072463,1.0390943638601937,1.006486135884547,1.0145115123963468
2017-05-23,1.3601245864523435,1.5340335600874597,,2.2501422918852114,,1.0324919441460798,0.9953623188405796,1.0400256918053845,0.9854386249391925,1.021330555204782
2017-05-24,1.4523312867646536,1.7075025704498457,,2.0576116407051357,,1.0294038668098822,0.9966666666666665,1.0494567253653053,1.0060645370520513,1.0287599444374294
2017-05-25,1.4041845781153768,1.5854829170488691,,1.6989680120459416,,1.03296186895811,1.0089855072463767,1.063405234705347,1.0275012161504784,1.043755524687461
2017-05-26,1.3421241785213407,1.461084107821828,,1.8393339183103588,,1.0312164339419982,1.0139130434782606,1.0659744152438044,1.0544511107507704,1.0452392978911482
2017-05-30,1.2724883161694145,1.7197993254081325,,1.6370439832133872,,1.031619226638024,1.0204347826086955,1.0669592677835464,1.0867520674558135,1.0482910300122072
2017-05-31,1.3672559606901602,1.7240746762648695,,1.9726195619911266,,1.025510204081633,1.0121739130434781,1.0647326446502166,1.1059185989946492,1.0387359515090293
2017-06-01,1.4300447931134124,1.652956929225695,,2.656083812174658,,1.0283297529538138,1.0159420289855068,1.0661563988652785,1.1038430355115942,1.039998737214295
2017-06-02,1.4759459639733414,1.6715010441672014,,2.425997827095859,,1.043568743286789,1.0399999999999996,1.0776963014505163,1.102156640181612,1.0482384139411545
2017-06-05,1.5712942308110633,1.681651777428664,,2.394670152940057,,1.033364661654136,1.0475362318840575,1.0826312690681368,1.1263823577103942,1.05640442816854
2017-06-06,1.5712942308110633,1.7979114126826095,,2.3243701357011415,,1.0368555316863592,1.0510144927536227,1.0737033666969973,1.144316523431166,1.048827713936945
2017-06-06,1.6763095668461847,1.7979114126826095,,2.3243701357011415,,1.0403581944322624,1.0545043029121848,1.0648490881376078,1.1625362354390387,1.0413053412028075
2017-06-07,1.5681224312166013,1.7308913796406171,,2.299205416154473,,1.0465552131365532,1.0526139890762969,1.072355053295268,1.1849402212715041,1.0464351814978932
2017-06-08,1.5681224312166013,1.7587415833963518,,2.3570248397133358,,1.0439955749760854,1.0462160037855996,1.0725673861144378,1.2190404055900363,1.049245623533286
2017-06-08,1.630560181210791,1.7587415833963518,,2.3570248397133358,,1.0414421971136223,1.0398569066497292,1.0727797609767966,1.2541219242828123,1.0520636136562949
2017-06-09,1.6264378867454112,1.8937981444540575,,2.3329429113991824,,1.0010585103941378,1.016299342260027,1.038842257971839,1.211142826985769,1.0162782818339953
2017-06-12,1.4578104509328245,2.2122324913814038,,2.1806789341176076,,0.9771373914721139,1.0084949957750953,1.0246131421937905,1.2168711136128987,1.0075728922718374
2017-06-13,1.476663487292145,2.165115341887959,,2.2817689337594467,,0.9849991075223297,1.0210686651119303,1.04147570626509,1.274289560632766,1.0166763622231192
2017-06-14,1.3510329600813402,1.931008466844758,,2.377972588713612,,0.9753903434609548,1.0155767175854964,1.036888409238137,1.290254193777015,1.0139840816966756
2017-06-15,1.319241789850631,1.9231669319275233,,2.209312400536095,,0.9695444520389995,1.010229294993969,1.0238273552030626,1.2722219542170563,1.00586533691849
2017-06-16,1.356650518541185,1.9893258228156003,,2.245930034368943,,0.9559712328753793,1.0116745443430304,1.0488238765027091,1.2588672504828013,1.004231112163139
2017-06-19,1.3792421122692797,2.0037464778023195,,2.293452325605445,,0.9833192536654459,1.0242482136798652,1.0567454588686973,1.2534440205399568,1.0216209396880271
2017-06-20,1.4622324756480292,1.9816578306529933,,2.569490935476534,,0.9743824311468245,1.010373819928875,1.0540058231442673,1.261714446202795,1.0150945164663372
