,Crypto Data,Crypto Data,Crypto Data,Crypto Data,Crypto Data,Stock Data,Stock Data,Stock Data,Stock Data,Stock Data
,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
,close,close,close,close,close,close,close,close,close,close
2020-03-20 00:00:00.000,6170.200600237675,136.81187578973578,38.986819644643546,0.1630137642312299,0.030025358670093035,229.24,137.35,1846.09,427.53,1068.21
2020-03-21 00:00:00.000,6195.603505257629,131.96469397290025,37.99759172484464,0.1578654199821656,0.029563156863756747,,,,,
2020-03-22 00:00:00.000,6145.770891252399,131.94321845316688,38.07295486228046,0.1572388916037732,0.02920966660001919,,,,,
2020-03-23 00:00:00.000,5859.647430299388,122.5205987665882,35.50456004097771,0.1506641854751117,0.027299338945898356,224.37,135.98,1902.83,434.29,1054.13
2020-03-24 00:00:00.000,6456.347485963419,135.58865798037067,39.03582479150503,0.15818223865173547,0.029350724334646947,246.88,148.34,1940.1,505.0,1130.01
2020-03-25 00:00:00.000,6730.173782371188,138.77657127268222,40.612846657356386,0.16232648779448133,0.030292189964117498,245.52,146.92,1885.84,539.25,1101.62
2020-03-26 00:00:00.000,6695.9006183977235,136.23392142176775,39.24660316297314,0.1616945113158979,0.029553286311834504,258.44,156.11,1955.49,528.16,1162.92
2020-03-27 00:00:00.000,6765.56207892991,138.76693759902926,40.377280132813745,0.17414388125687338,0.030279069890362973,247.74,149.7,1900.1,514.36,1110.26
2020-03-28 00:00:00.000,6397.826328325604,130.2865618875773,38.09848393304914,0.1741474352175186,0.029051152675985865,,,,,
2020-03-29 00:00:00.000,6255.000398693634,131.42405214081145,38.91148983077907,0.17685014138047248,0.029258974440926674,,,,,
2020-03-30 00:00:00.000,5915.337154791903,125.31887451568916,37.34894252471797,0.16447701662718836,0.02813464997437409,254.81,160.23,1963.95,502.13,1146.31
2020-03-31 00:00:00.000,6403.141235565223,132.36373895414985,38.99668226603268,0.17093843850410675,0.029919979067588413,254.29,157.71,1949.72,524.0,1161.95
2020-04-01 00:00:00.000,6421.70541388854,133.2364468438201,39.12976023809397,0.17392564111197442,0.030115490879317953,240.91,152.11,1907.7,481.56,1102.1
2020-04-02 00:00:00.000,6640.797666310131,136.21638557312852,39.371644616540536,0.17508389119266285,0.031124362144469,244.93,155.26,1918.83,454.47,1117.03
2020-04-03 00:00:00.000,6807.897017890566,141.4537053523866,39.96085940733167,0.17815815095276072,0.03192383119673622,241.41,153.83,1906.59,480.01,1092.7
2020-04-04 00:00:00.000,6732.852018394612,141.26154326644877,40.408450559995266,0.17903878936652484,0.03190034091740878,,,,,
2020-04-05 00:00:00.000,6859.424923721944,144.200802681986,40.69370275505751,0.18002309457934823,0.032559946978819546,,,,,
2020-04-06 00:00:00.000,6788.048272605917,142.8508834648482,40.31278373562329,0.1781015255131237,0.03190115589416975,262.47,165.27,1997.59,516.24,1183.19
2020-04-07 00:00:00.000,7297.635558289496,169.85504979336824,44.682230833386114,0.19471507618414166,0.03515264045303116,259.43,163.49,2011.6,545.45,1182.56
2020-04-08 00:00:00.000,7196.782202442051,164.5160197107307,44.67106612408621,0.192698794927934,0.03517699227028992,266.07,165.13,2043.0,548.84,1207.0
2020-04-09 00:00:00.000,7342.291601148024,172.80356826747519,46.489363032337444,0.20004763010892992,0.036138737022157766,267.99,165.14,2042.76,573.0,1206.57
2020-04-10 00:00:00.000,7294.488875121554,170.09510352387568,46.38101466607907,0.19806941770953088,0.0362387493283838,,,,,
2020-04-11 00:00:00.000,6864.694257006497,157.74015800780134,42.127716499117234,0.18842873691679146,0.03355089410257256,,,,,
2020-04-12 00:00:00.000,6878.781212589853,158.32787794181905,42.50127781630214,0.1885856605415796,0.03333771592009745,,,,,
2020-04-13 00:00:00.000,6913.158787469097,158.8638257195104,42.108637512709265,0.18793418546556673,0.03350282483281884,273.25,165.51,2168.87,650.95,1210.41
2020-04-14 00:00:00.000,6857.538537511484,156.70135879140688,41.26874879368051,0.18827236788185847,0.033164582986299866,287.05,173.7,2283.32,709.89,1265.23
2020-04-15 00:00:00.000,6860.17853570111,158.26715118298955,41.19774363709778,0.18610888684287522,0.03308764126289459,284.43,171.88,2307.68,729.83,1257.3
2020-04-16 00:00:00.000,6629.431738031291,153.2228636800284,39.295365055327046,0.18169801367609822,0.031854947221113185,286.69,177.04,2408.19,745.21,1257.43
2020-04-17 00:00:00.000,7059.92622475854,171.7759907508837,42.40016708035563,0.18856584786352443,0.03421573200401328,282.8,178.6,2375.0,753.89,1279.0
2020-04-18 00:00:00.000,7035.261503989225,170.445890477055,42.25151455645541,0.18890422687848843,0.034226800145962986,,,,,
2020-04-19 00:00:00.000,7242.5109294929825,187.14354411560592,43.99534540642538,0.19410552542802123,0.03617135075341797,,,,,
2020-04-20 00:00:00.000,7127.511949689152,180.05859654051866,42.23948460894982,0.18984854465276943,0.03576446863266553,276.93,175.06,2393.61,746.36,1261.15
2020-04-21 00:00:00.000,6856.456278354705,170.70405868653958,40.35910603510565,0.18330269141211422,0.03403570805043787,268.37,167.82,2328.12,686.72,1212.16
2020-04-22 00:00:00.000,6842.038597634602,170.45154288047368,40.50635326036437,0.18313346135006744,0.034321463320175806,276.1,173.52,2363.49,732.11,1258.41
2020-04-23 00:00:00.000,7109.995291181778,182.2767576620704,41.815657017824236,0.18768951931615696,0.036251791946901056,275.03,171.42,2399.45,705.63,1271.17
2020-04-24 00:00:00.000,7382.793144116689,184.59370248021838,42.65252468395609,0.1901184454663675,0.03986515874644297,282.97,174.55,2410.22,725.15,1276.6
2020-04-25 00:00:00.000,7495.393587498606,187.34336861419638,44.46317669126096,0.19238168847343698,0.04137631150203629,,,,,
2020-04-26 00:00:00.000,7538.557687279841,194.11423682570447,44.40862168631562,0.19442200981571112,0.042297048210688984,,,,,
2020-04-27 00:00:00.000,7683.867415083342,197.22990444623989,44.62756491722613,0.19693094024713242,0.045321212289281494,283.17,174.05,2376.0,798.75,1270.86
2020-04-28 00:00:00.000,7774.281554448049,196.46262535084685,44.49126112962705,0.19789304938794036,0.04626131794267583,278.58,169.81,2314.08,769.12,1232.59
2020-04-29 00:00:00.000,7758.230255185947,197.15473156634306,45.689772912318716,0.2133646263583613,0.04683418909009339,287.73,177.43,2372.71,800.51,1342.18
2020-04-30 00:00:00.000,8744.430287016561,215.54817266567386,48.78332040513955,0.22602861693321166,0.05148004627020868,293.8,179.21,2474.0,781.88,1346.7
2020-05-01 00:00:00.000,8610.63580374089,205.55600541063674,46.19229238099793,0.21310049835339237,0.048008344969066724,289.07,174.57,2286.04,701.32,1317.32
2020-05-02 00:00:00.000,8824.818413551968,211.96829534904975,46.97169153915602,0.21763942367204323,0.050066837336214594,,,,,
2020-05-03 00:00:00.000,8966.307014689282,213.94301121407548,49.20677205004636,0.2229278108306535,0.050944071063612976,,,,,
2020-05-04 00:00:00.000,8888.671912686868,210.02470947464775,48.077002825696205,0.2193996373715576,0.049620875210238974,293.16,178.84,2315.99,761.19,1322.9
2020-05-05 00:00:00.000,8884.407813577056,206.8325342346069,47.02454308867785,0.2183355316840978,0.04933056298412934,297.56,180.76,2317.8,768.21,1349.02
2020-05-06 00:00:00.000,9003.240557621584,205.22517973985205,46.538089621914054,0.21665867531586175,0.04943354443626274,300.63,182.54,2351.26,782.58,1345.43
2020-05-07 00:00:00.000,9144.68703972007,200.25479450009442,45.51292933815964,0.21316859552060752,0.049848709941183324,303.74,183.6,2367.61,780.04,1369.28
2020-05-08 00:00:00.000,9959.166416261767,212.29247620086525,47.46870424907492,0.2193568557668683,0.05167027721929279,310.13,184.68,2379.61,819.42,1384.34
2020-05-09 00:00:00.000,9821.81131529702,211.68904835113835,47.669691689217885,0.21817125944521623,0.051289723792858684,,,,,
2020-05-10 00:00:00.000,9566.777187205966,210.4318181376063,47.04358578433151,0.21623674329232112,0.051110669967212946,,,,,
2020-05-11 00:00:00.000,8752.617087745832,188.13722615896586,42.19348872817627,0.20087033236420565,0.04763232409174676,315.01,186.74,2409.0,811.29,1403.59
2020-05-12 00:00:00.000,8604.75159101983,185.67471809740294,41.57107188773261,0.19388790957730762,0.04778357884916732,311.41,182.51,2356.95,809.41,1375.18
2020-05-13 00:00:00.000,8788.466749414652,189.30578181851274,42.114735935430346,0.197123255346823,0.04986014003783247,307.65,179.75,2367.92,790.96,1348.33
2020-05-14 00:00:00.000,9283.08601265873,199.36937254304945,43.19773793444786,0.20180311736508466,0.05190733864530212,309.54,180.53,2388.85,803.33,1356.86
2020-05-15 00:00:00.000,9796.494527024528,203.21124699378416,43.91170781426683,0.20339121602916818,0.0523289773867511,307.71,183.16,2409.78,799.17,1373.06
2020-05-16 00:00:00.000,9309.29535940684,194.27309778153102,42.65010638310425,0.1984767930027895,0.04965591623553334,,,,,
2020-05-17 00:00:00.000,9375.29710843331,200.58339090310048,43.079874082916035,0.20068503569720783,0.05078955490374222,,,,,
2020-05-18 00:00:00.000,9666.32719340344,206.76889403683904,43.61155324452331,0.20066391162784475,0.051874033349081826,314.96,184.91,2426.26,813.63,1385.18
2020-05-19 00:00:00.000,9708.439858793108,214.35764164526782,45.23005013509124,0.20463934825919036,0.05330165179685109,313.14,183.63,2449.33,808.01,1374.4
2020-05-20 00:00:00.000,9760.198937162193,213.68672021176667,45.463621207464925,0.20474144959670157,0.055955048441401,319.23,185.66,2497.94,815.56,1409.16
2020-05-21 00:00:00.000,9526.50759300584,209.9207882888633,44.22663030732638,0.20187100598936145,0.05629641155778893,316.85,183.43,2446.74,827.6,1406.75
2020-05-22 00:00:00.000,9059.962506871727,198.9175157507187,42.72871574363125,0.19501216560766965,0.05255605041329291,318.89,183.51,2436.88,816.88,1413.24
2020-05-23 00:00:00.000,9131.767275081993,206.22772963994552,44.00887576230386,0.19960886868775185,0.05458098672313555,,,,,
2020-05-24 00:00:00.000,9170.361063506127,206.4112069583191,43.847233666448915,0.19754927942344438,0.05502897778167245,,,,,
2020-05-25 00:00:00.000,8731.848525870651,200.69072858230618,42.18639624203146,0.19419036291235778,0.05165813433464868,,,,,
2020-05-26 00:00:00.000,8883.691769863415,203.81011834234977,42.911179875214096,0.19685487196537504,0.0534591223816944,316.73,181.57,2421.86,818.87,1421.37
2020-05-27 00:00:00.000,8839.130663273247,200.96361540675866,42.28751255371689,0.19413459787001003,0.053489647699239654,318.11,181.81,2410.39,820.23,1420.28
2020-05-28 00:00:00.000,9174.118563996424,207.84589389085414,43.76945738301345,0.19720175798010187,0.05513189797928608,318.25,181.4,2401.1,805.81,1418.24
2020-05-29 00:00:00.000,9546.04563503715,219.59156405880168,44.658723443487304,0.20079689798971392,0.06318170384699415,317.94,183.25,2442.37,835.0,1433.52
2020-05-30 00:00:00.000,9427.120373393418,220.49116734603788,44.47093855968127,0.19790502860899387,0.06440627090487543,,,,,
2020-05-31 00:00:00.000,9662.70587254818,242.70977026782677,47.66219026243264,0.20577482926769294,0.07515173911855684,,,,,
2020-06-01 00:00:00.000,9466.961781429516,232.33100303896677,45.75715188266636,0.2032687101969978,0.07445057048724268,321.85,182.83,2471.04,898.1,1434.87
2020-06-02 00:00:00.000,10167.93069332851,248.04456658448655,48.334088979996565,0.21087234962022489,0.0807648188667561,323.34,184.91,2472.41,881.56,1442.31
2020-06-03 00:00:00.000,9515.243858655718,237.26532012867918,46.079393314803276,0.2032858789259503,0.07845964190326127,325.12,185.36,2478.4,882.96,1439.25
2020-06-04 00:00:00.000,9645.227869360308,244.1253366100756,47.061515304656965,0.20362470318243275,0.08460175665437468,322.32,182.92,2460.6,864.38,1414.3
2020-06-05 00:00:00.000,9776.20299178848,243.70782131595863,47.45756949786966,0.20484984489666377,0.08759318165448617,331.5,187.2,2483.0,885.66,1440.02
2020-06-06 00:00:00.000,9636.965527050057,240.24696898765103,46.878803797405965,0.20313854754795302,0.08521898020086886,,,,,
2020-06-07 00:00:00.000,9662.858709002241,242.02164036721499,46.7525912561538,0.20320959689430387,0.08617635377316928,,,,,
2020-06-08 00:00:00.000,9738.603356828593,244.22674439497985,46.58526346259398,0.20293189504238213,0.08640404204550932,333.46,188.36,2524.06,949.92,1448.04
2020-06-09 00:00:00.000,9773.02951309516,246.21278326044262,46.40158122520795,0.2040536556633028,0.08645866868212641,343.99,189.8,2600.86,940.67,1452.08
2020-06-10 00:00:00.000,9767.00531665552,243.8495266518988,45.896784751228324,0.20126914749084193,0.08312707196318139,352.84,196.84,2647.45,1025.05,1464.7
2020-06-11 00:00:00.000,9874.898681832236,247.5419715295243,46.6554956063533,0.2028000526521789,0.08357072206180427,335.9,186.27,2557.96,972.84,1401.9
2020-06-12 00:00:00.000,9325.996856202635,232.00078536182022,43.46467886975068,0.19011049188788876,0.07547795199985105,338.8,187.74,2545.02,935.28,1412.92
2020-06-13 00:00:00.000,9469.533297509908,237.59341087744238,44.7089879069326,0.19341171844237245,0.07941430595045662,,,,,
2020-06-14 00:00:00.000,9469.473456163696,238.29362910089247,45.11747075374162,0.19278129355715468,0.07896191845138543,,,,,
2020-06-15 00:00:00.000,9345.960907722063,232.11252047744935,44.070120700112284,0.19038565076060282,0.07649684896822592,342.99,188.94,2572.68,990.9,1420.74
2020-06-16 00:00:00.000,9431.719262201745,231.0170115525279,43.79423446311941,0.19210767925088426,0.07826463754494828,352.08,193.57,2615.27,982.13,1446.47
2020-06-17 00:00:00.000,9524.92661691022,235.28847948297147,43.85064010056444,0.1911280314860965,0.07894369694119917,351.59,194.24,2640.98,991.79,1452.54
2020-06-18 00:00:00.000,9463.361414311787,233.8636184621818,44.04460411658278,0.19317215500214915,0.0833565563029465,351.73,196.32,2653.98,1003.96,1434.12
2020-06-19 00:00:00.000,9399.767217129216,231.68485732135008,43.50090939688529,0.19041681951138753,0.08205913680156704,349.72,195.15,2675.01,1000.9,1424.64
2020-06-20 00:00:00.000,9312.780104497786,228.9592128032193,42.81061192310982,0.1872217853352464,0.07976738379090179,,,,,
2020-06-21 00:00:00.000,9360.247968201687,228.8691487972198,43.5909040849994,0.18867538287461827,0.07935360676409624,,,,,
2020-06-22 00:00:00.000,9298.360829121417,227.79190590968685,42.963278880117656,0.18540995922524967,0.07834101698016169,358.87,200.57,2713.82,994.32,1450.66
2020-06-23 00:00:00.000,9678.683208975835,243.36470999245498,44.376073707403435,0.19003525021647294,0.08360934463584759,366.53,201.91,2764.41,1001.78,1463.98
2020-06-24 00:00:00.000,9624.684291831398,243.07948223903702,44.13845546936312,0.18829237051161374,0.08276496254414765,360.06,197.84,2734.4,960.85,1432.7
2020-06-25 00:00:00.000,9288.061774486938,234.5649846444734,42.5853071385758,0.18392972980810404,0.08250248627891989,364.84,200.34,2754.58,985.98,1441.1
2020-06-26 00:00:00.000,9258.667161007706,232.64870349961575,42.38334399528373,0.18352365517619634,0.08162344153345734,353.63,196.33,2692.87,959.74,1362.54
2020-06-27 00:00:00.000,9166.486360416233,229.6365260272679,43.140898612734304,0.18277971321724198,0.08063290267381834,,,,,
2020-06-28 00:00:00.000,9013.90556467614,221.0260852973422,41.112309217114046,0.17589429098928788,0.07745477240605046,,,,,
2020-06-29 00:00:00.000,9139.903276297824,225.12294616525017,41.399549790866814,0.1769985457927027,0.08032049074677003,361.78,198.44,2680.38,1009.35,1397.17
2020-06-30 00:00:00.000,9185.166540651147,228.20576377381224,41.88893944559539,0.17759720673089446,0.0837782373441704,364.8,203.51,2758.82,1079.81,1418.05
2020-07-01 00:00:00.000,9149.721996758017,225.59281496891896,41.21009341714519,0.17570051360531663,0.08310769731892971,364.11,204.7,2878.7,1119.63,1442.0
2020-07-02 00:00:00.000,9230.672998590804,230.66194359094902,41.7471551125746,0.17673982795801382,0.09609882582963368,364.11,206.26,2890.3,1208.66,1469.93
2020-07-03 00:00:00.000,9094.318072166905,226.57442434030435,41.02343697703279,0.175210257774019,0.09324866368231888,,,,,
2020-07-04 00:00:00.000,9071.3850427828,225.1764054804081,41.18483658991759,0.17602967232868488,0.09627543371927394,,,,,
2020-07-05 00:00:00.000,9132.908369533492,229.09471646218861,42.09302126322132,0.17776145865886417,0.09969379993052387,,,,,
2020-07-06 00:00:00.000,9087.407312582163,227.8993750381917,41.68934632833335,0.17718496372331566,0.09832563128453738,373.85,210.7,3057.04,1371.58,1499.65
2020-07-07 00:00:00.000,9342.376492626678,241.52685187431663,44.0666503990215,0.18838913245133598,0.1053035083626078,372.69,208.25,3000.12,1389.86,1489.92
2020-07-08 00:00:00.000,9253.630980242333,238.96448054067793,43.32514684140118,0.18482483944539824,0.11760844945010313,381.37,212.83,3081.11,1365.88,1503.6
2020-07-09 00:00:00.000,9432.172515827939,246.85900786802029,45.27189229731017,0.20433609878096115,0.1298804110538667,382.73,214.32,3182.63,1394.28,1518.66
