,BTC,ETH,LTC,XRP,ADA
,Price,Price,Price,Price,Price
date,,,,,
2017-05-05 00:00:00.000,1506.0438,91.16038713753753,26.199396245481584,0.092864,
2017-05-06 00:00:00.000,1547.815,96.42767965195394,28.175798959990036,0.102521,
2017-05-07 00:00:00.000,1557.8838,89.73967947914684,30.19987800750247,0.137873,
2017-05-08 00:00:00.000,1633.38,87.94812005196805,28.65602988296619,0.201431,
2017-05-09 00:00:00.000,1700.1775,87.50244390780135,30.06259064359396,0.160441,
2017-05-10 00:00:00.000,1747.3175,88.41058886851773,32.150074807136946,0.187175,
2017-05-11 00:00:00.000,1808.7788,88.45664874349296,30.35577463543743,0.182093,
2017-05-12 00:00:00.000,1700.7725,88.18109149325619,29.045817173323318,0.204731,
2017-05-13 00:00:00.000,1751.73,89.13893167771396,28.049843511095787,0.214357,
2017-05-14 00:00:00.000,1767.7088,90.05504056395782,28.638769980871576,0.221262,
2017-05-15 00:00:00.000,1696.13,90.50413159922428,25.43481704968327,0.261789,
2017-05-16 00:00:00.000,1716.315,87.09148558444505,23.457491689231144,0.339733,
2017-05-17 00:00:00.000,1804.4513,88.21316751381906,25.569669364261394,0.405379,
2017-05-18 00:00:00.000,1889.4088,96.62584622982801,28.121999634198,0.363136,
2017-05-19 00:00:00.000,1972.9013,122.16278299258484,27.357716141270416,0.341917,
2017-05-20 00:00:00.000,2043.42,123.02820305804211,27.46551568317875,0.353756,
2017-05-21 00:00:00.000,2053.8788,148.65732047983943,26.133600950267503,0.338757,
2017-05-22 00:00:00.000,2109.3963,153.99006380727735,24.39283053737849,0.316974,
2017-05-23 00:00:00.000,2292.7025,171.08002832171815,31.66182981276482,0.332185,
2017-05-24 00:00:00.000,2448.1313,190.42581317146121,34.86116224688043,0.303762,
2017-05-25 00:00:00.000,2366.9725,176.81781507886726,28.712406001078065,0.250816,
2017-05-26 00:00:00.000,2262.36,162.94448638549966,24.03315270299396,0.271538,
2017-05-27 00:00:00.000,2082.845,159.05524764233746,23.47597559100468,0.213315,
2017-05-28 00:00:00.000,2219.4875,172.3406699356334,23.97925575855954,0.231631,
2017-05-29 00:00:00.000,2286.2663,196.0785933386944,25.87420230389056,0.230942,
2017-05-30 00:00:00.000,2167.6438,230.79837139121355,23.994214390506727,0.205543,
2017-05-31 00:00:00.000,2329.0775,231.37212671271118,24.99562506913182,0.247677,
2017-06-01 00:00:00.000,2436.0363,221.82807122254022,27.943430841955713,0.333491,
2017-06-02 00:00:00.000,2514.2275,224.31670548594502,28.619183928838694,0.304602,
2017-06-03 00:00:00.000,2562.54,225.39759443485244,27.485636621290727,0.282311,
2017-06-04 00:00:00.000,2556.405,247.4275410848339,27.69338743535053,0.297987,
2017-06-05 00:00:00.000,2721.5525,248.93012523209245,30.5185779103998,0.294139,
2017-06-06 00:00:00.000,,266.13970806704395,30.648847231582963,0.285504,
2017-06-06 23:29:55.701,2903.4438,,,,
2017-06-07 00:00:00.000,2716.0588,256.21892337063565,28.484736272924547,0.282413,
2017-06-08 00:00:00.000,,260.3415097477362,30.223774811223166,0.289515,
2017-06-08 23:39:21.692,2824.2038,,,,
2017-06-09 00:00:00.000,2817.0638,280.333547997722,29.569850027378717,0.286557,
2017-06-10 00:00:00.000,2937.4538,337.7921754587072,30.044672113608275,0.261162,
2017-06-11 00:00:00.000,3013.7138,341.0796489185503,33.395531735814124,0.272619,
2017-06-12 00:00:00.000,2701.255,398.4307850845948,29.0240827182385,0.254826,
2017-06-13 00:00:00.000,2736.1888,389.9448221775502,30.134467060142562,0.266639,
2017-06-14 00:00:00.000,2503.40127294964,347.78135772227546,30.169633006576287,0.277881,
2017-06-15 00:00:00.000,2444.49371230854,346.36906994261665,29.991619068928586,0.258172,
2017-06-16 00:00:00.000,2513.81034764638,358.2845168676378,35.25251283498708,0.262451,
2017-06-17 00:00:00.000,2683.5713440378,372.3570110185702,47.754253969486655,0.26828,
2017-06-18 00:00:00.000,2577.21936114026,359.4387121135216,46.26067118660127,0.284225,
2017-06-19 00:00:00.000,2620.13645139993,362.0442891370599,49.97706304006617,0.290239,
2017-06-20 00:00:00.000,2777.79265567999,358.0532310647092,48.041474289000305,0.325172,
2017-06-21 00:00:00.000,2717.00310788798,327.8909356942679,47.64519340666516,0.292925,
2017-06-22 00:00:00.000,2724.91221331707,326.9598139741636,47.876098919447834,0.299346,
2017-06-23 00:00:00.000,2737.74623109829,331.9138051489657,47.957548659500674,0.320574,
2017-06-24 00:00:00.000,2618.41673570888,310.05462840596994,44.677631848640644,0.310808,
2017-06-25 00:00:00.000,2606.8632352265,288.04702626534885,44.720556234487816,0.298092,
2017-06-26 00:00:00.000,2488.19416337737,258.91946273454556,40.96865144428587,0.275927,
2017-06-27 00:00:00.000,2531.34899878484,280.8130146788337,40.143720441943145,0.27538,
2017-06-28 00:00:00.000,2575.43777025493,317.2936774724324,42.640257657020555,0.2809,
2017-06-29 00:00:00.000,2561.68143454198,300.18215256198584,41.690431541258675,0.269185,
2017-06-30 00:00:00.000,2490.75348798041,284.69108328848546,41.122077811627,0.262806,
2017-07-01 00:00:00.000,2439.82055973389,262.47807335859795,39.66735060754385,0.255292,
2017-07-02 00:00:00.000,2518.54569431263,286.1336070099866,41.74012532796501,0.259801,
2017-07-03 00:00:00.000,2576.7146569746,278.5971953381099,46.461905249250265,0.259848,
2017-07-04 00:00:00.000,2610.99757474179,269.7366305781692,54.94055714275195,0.254387,
2017-07-05 00:00:00.000,2607.21930206989,265.9369454655199,53.18472546021047,0.255837,
