date,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
6/07/2017,0.002090782,0.00576369,-0.034504459,-0.003721119,,-0.009438545,-0.007382745,-0.006444307,-0.055825614,-0.004902066
7/07/2017,-0.039596352,-0.097181478,-0.08645476,-0.059764207,,0.010159042,0.012979437,0.014111942,0.01421494,0.014142655
10/07/2017,-0.061805587,-0.118222453,-0.061393001,-0.123754011,,0.006103482,0.007486323,0.018094323,0.009035183,0.010831092
11/07/2017,-0.00406387,-0.076917301,-0.020532482,-0.093347943,,0.003240039,0.000142898,-0.002348289,0.035342509,0.002660358
12/07/2017,0.014196907,0.143072163,0.065007556,0.10195455,,0.001443001,0.016573796,0.0124531,0.00702891,0.014818621
13/07/2017,-0.009637401,-0.070791783,-0.037120593,-0.014047367,,0.013928915,0.008713985,-0.005841969,-0.018542122,0.001229771
14/07/2017,-0.057349429,-0.040907248,-0.083179908,-0.061508496,,0.008594437,0.014072732,0.001179257,0.01351226,0.008319141
17/07/2017,0.131901374,0.203770635,0.0306928,0.222229902,,0.003488996,0.007831822,0.008215131,-0.025047288,-0.000972454
18/07/2017,0.056206875,0.213166502,0.041061223,0.070164327,,0.003476865,-0.000681663,0.014266762,0.027130206,0.011260707
19/07/2017,-0.012703731,-0.12653107,-0.071898877,-0.142562748,,0.006263326,0.007639836,0.002362243,-0.009078723,0.005896955
20/07/2017,0.216389313,0.119599034,0.091921616,0.154489431,,-0.004502715,0.004874086,0.001782115,0.014327,-0.000584224
21/07/2017,-0.039305053,-0.028527862,0.025172735,-0.026609515,,-0.000465611,-0.005793587,-0.002945465,-0.004607177,0.001662988
24/07/2017,0.007227645,-0.007962259,0.007524238,-0.014156248,,0.012111533,-0.002574875,0.012947634,0.042996346,0.004497706
25/07/2017,-0.068184482,-0.08048832,-0.053894622,-0.081308139,,0.004273785,0.008016304,0.000885509,-0.00852505,-0.029329567
26/07/2017,-0.021982743,-0.031342455,-0.011333302,-0.014570235,,0.004713893,-0.001887047,0.012434247,0.012514723,-0.00383889
27/07/2017,0.056653147,0.01428037,0.005121794,-0.002007859,,-0.018897433,-0.012018906,-0.006458967,-0.027308419,-0.013259989
28/07/2017,0.056384762,-0.052186,-0.033289343,-0.046631079,,-0.007040383,-0.001640241,-0.024818356,0.001823835,0.006110172
31/07/2017,0.047820784,0.030873554,0.072410495,0.008696229,,-0.005150502,-0.004654984,-0.031626211,-0.034619632,-0.013387873
1/08/2017,-0.046529815,0.117043135,-0.003934069,0.056328338,,0.008875143,-0.001650619,0.008514042,-0.01205676,0.0011211
2/08/2017,-0.014578646,-0.035329477,-0.025819249,-0.016713865,,0.047250916,-0.004408928,-0.000301147,0.019776575,0.001140974
3/08/2017,0.029474235,0.026522789,0.018457584,0.005086142,,-0.009991091,-0.001522281,-0.009007019,0.065052625,-0.007745557
4/08/2017,0.024674141,-0.014199431,0.015400348,-0.002338216,,0.005270939,0.007345807,0.000668747,0.028292374,0.005838562
7/08/2017,0.052348367,0.020038375,0.012586456,-0.007237776,,0.015474135,-0.003852504,0.004748982,-0.004875179,-4.23E-05
8/08/2017,0.016009827,0.099258115,0.067170937,0.071274141,,0.007996978,0.00538674,-0.00244893,0.028296309,-0.001649485
9/08/2017,-0.023326028,0.006513723,-0.011665589,-0.042282681,,0.006121939,-0.004396208,-0.007910369,-0.004627348,-0.004352937
10/08/2017,0.011110386,-0.000985899,-0.034618733,-0.016253832,,-0.035638892,-0.014626742,-0.025549638,-0.022364041,-0.01754106
11/08/2017,0.05780515,0.033862862,0.001453567,-0.004295266,,0.013906773,0.015263969,0.011568365,0.006949916,0.007037755
14/08/2017,0.037889914,-0.002566004,-0.007069139,0.011700176,,0.01504953,0.015034483,0.015816279,0.016570263,0.009504457
15/08/2017,-0.006319075,-0.026810375,-0.044110968,-0.046722995,,0.010947764,-0.005027857,-0.000569511,-0.004040682,-0.000905286
16/08/2017,0.02729371,0.040175183,0.015686964,-0.013928983,,-0.004022277,0.005872712,-0.004640088,0.001600751,0.006598584
