date,AAPL,MSFT,AMZN,TSLA,GOOGL
20/10/2017,156.25,78.81,982.91,345.1,1005.07
23/10/2017,156.17,78.83,966.3,337.02,985.54
24/10/2017,157.1,78.86,975.9,337.34,988.49
25/10/2017,156.41,78.63,972.91,325.84,991.46
26/10/2017,157.41,78.76,972.43,326.17,991.42
27/10/2017,163.05,83.81,1100.95,320.87,1033.67
30/10/2017,166.72,83.89,1110.85,320.08,1033.13
31/10/2017,169.04,83.18,1105.28,331.53,1033.04
1/11/2017,166.89,83.18,1103.68,321.08,1042.595
2/11/2017,168.11,84.05,1094.22,299.26,1042.97
3/11/2017,172.5,84.14,1111.6,306.09,1049.99
6/11/2017,174.25,84.47,1120.66,302.78,1042.68
7/11/2017,174.81,84.27,1123.17,306.05,1052.39
8/11/2017,176.24,84.56,1132.88,304.39,1058.29
9/11/2017,175.88,84.09,1129.13,302.99,1047.72
10/11/2017,174.67,83.87,1125.35,302.99,1044.15
13/11/2017,173.97,83.93,1129.17,315.4,1041.2
14/11/2017,171.34,84.05,1136.84,308.7,1041.64
15/11/2017,169.08,82.98,1126.69,311.3,1036.41
16/11/2017,171.1,83.2,1137.29,312.5,1048.47
17/11/2017,170.15,82.4,1129.88,315.05,1035.89
20/11/2017,169.98,82.53,1126.31,308.74,1034.66
21/11/2017,173.14,83.72,1139.49,317.81,1050.3
22/11/2017,174.96,83.11,1156.16,312.6,1051.92
24/11/2017,174.97,83.26,1186,315.55,1056.52
27/11/2017,174.09,83.87,1195.83,316.81,1072.01
28/11/2017,173.07,84.88,1193.6,317.55,1063.29
29/11/2017,169.48,83.34,1161.27,307.54,1037.38
30/11/2017,171.85,84.17,1176.75,308.85,1036.17
1/12/2017,171.05,84.26,1162.35,306.53,1025.07
4/12/2017,169.8,81.08,1133.95,305.2,1011.87
5/12/2017,169.64,81.59,1141.57,303.7,1019.6
6/12/2017,169.01,82.78,1152.35,313.26,1032.72
7/12/2017,169.32,82.49,1159.79,311.24,1044.57
8/12/2017,169.37,84.16,1162,315.13,1049.38
11/12/2017,172.67,85.23,1168.92,328.91,1051.97
12/12/2017,171.7,85.58,1165.08,341.03,1048.77
13/12/2017,172.27,85.35,1164.13,339.03,1051.39
14/12/2017,172.22,84.69,1174.26,337.89,1057.47
15/12/2017,173.97,86.85,1179.14,343.45,1072
18/12/2017,176.42,86.38,1190.58,338.87,1085.09
19/12/2017,174.54,85.83,1187.38,331.1,1079.78
20/12/2017,174.35,85.52,1177.62,328.98,1073.56
21/12/2017,175.01,85.5,1174.76,331.66,1070.85
22/12/2017,175.01,85.51,1168.36,325.2,1068.86
26/12/2017,170.57,85.4,1176.76,317.29,1065.85
27/12/2017,170.6,85.71,1182.26,311.64,1060.2
28/12/2017,171.08,85.72,1186.1,315.36,1055.95
29/12/2017,169.23,85.54,1169.47,311.35,1053.4
2/01/2018,172.26,85.95,1189.01,320.53,1073.21
3/01/2018,172.23,86.35,1204.2,317.25,1091.52
4/01/2018,173.03,87.11,1209.59,314.62,1095.76
5/01/2018,175,88.19,1229.14,316.58,1110.29
8/01/2018,174.35,88.28,1246.87,336.41,1114.21
9/01/2018,174.33,88.22,1252.7,333.69,1112.79
10/01/2018,174.29,87.82,1254.33,334.8,1110.14
11/01/2018,175.28,88.08,1276.68,337.95,1112.05
12/01/2018,177.09,89.6,1305.2,336.22,1130.65
16/01/2018,176.19,88.35,1304.86,340.06,1130.7
17/01/2018,179.1,90.14,1295,347.16,1139.1
18/01/2018,179.26,90.1,1293.32,344.57,1135.97
19/01/2018,178.46,90,1294.58,350.02,1143.5
22/01/2018,177,91.61,1327.31,351.56,1164.16
23/01/2018,177.04,91.9,1362.54,352.79,1176.17
24/01/2018,174.22,91.82,1357.51,345.89,1171.29
25/01/2018,171.11,92.33,1377.95,337.64,1182.14
26/01/2018,171.51,94.06,1402.05,342.85,1187.56
29/01/2018,167.96,93.92,1417.68,349.53,1186.48
30/01/2018,166.97,92.74,1437.82,345.82,1177.37
31/01/2018,167.43,95.01,1450.89,354.31,1182.22
1/02/2018,167.78,94.26,1390,349.25,1181.59
2/02/2018,160.5,91.78,1429.95,343.75,1119.2
5/02/2018,156.49,88,1390,333.13,1062.39
6/02/2018,163.03,91.33,1442.84,333.97,1084.43
7/02/2018,159.54,89.61,1416.78,345,1055.41
8/02/2018,155.15,85.01,1350.5,315.23,1007.71
9/02/2018,156.41,88.18,1339.6,310.42,1046.27
12/02/2018,162.71,89.13,1386.23,315.73,1054.56
13/02/2018,164.34,89.83,1414.51,323.66,1054.14
14/02/2018,167.37,90.81,1451.05,322.31,1072.7
15/02/2018,172.99,92.66,1461.76,334.065,1091.36
16/02/2018,172.43,92,1448.69,335.49,1095.5
20/02/2018,171.85,92.72,1468.35,334.77,1103.59
21/02/2018,171.07,91.49,1482.92,333.3,1113.75
22/02/2018,172.5,91.73,1485.34,346.17,1109.9
23/02/2018,175.5,94.06,1500,352.05,1128.09
26/02/2018,178.97,95.42,1521.95,357.42,1143.7
27/02/2018,178.39,94.2,1511.98,350.99,1117.51
28/02/2018,178.12,93.77,1512.45,343.06,1103.92
1/03/2018,175,92.85,1493.45,330.93,1071.41
2/03/2018,176.21,93.05,1500.25,335.12,1084.14
5/03/2018,176.82,93.64,1523.61,333.35,1094.76
6/03/2018,176.67,93.32,1537.64,328.2,1100.9
7/03/2018,175.03,93.86,1545,332.3,1115.04
8/03/2018,176.94,94.43,1551.86,329.1,1129.38
9/03/2018,179.98,96.54,1578.89,327.17,1160.84
12/03/2018,181.72,96.77,1598.39,345.51,1165.93
13/03/2018,179.97,94.41,1588.18,341.84,1139.91
14/03/2018,178.44,93.85,1591,326.63,1148.89
15/03/2018,178.65,94.18,1582.32,325.6,1150.61
16/03/2018,178.02,94.6,1571.68,321.35,1134.42
19/03/2018,175.3,92.89,1544.93,313.56,1100.07
20/03/2018,175.24,93.13,1586.51,310.55,1095.8
21/03/2018,171.27,92.48,1581.86,316.53,1094
22/03/2018,168.85,89.79,1544.92,309.1,1053.15
23/03/2018,164.94,87.18,1495.56,301.54,1026.55
26/03/2018,172.77,93.78,1555.86,304.18,1054.09
27/03/2018,168.34,89.47,1497.05,279.18,1006.94
28/03/2018,166.48,89.39,1431.42,257.78,1005.18
29/03/2018,167.78,91.27,1447.34,266.13,1037.14
2/04/2018,166.68,88.52,1371.99,252.48,1012.63
3/04/2018,168.39,89.71,1392.05,267.53,1018.68
4/04/2018,171.61,92.33,1410.57,286.94,1029.71
5/04/2018,172.8,92.38,1451.75,305.72,1032.64
6/04/2018,168.38,90.23,1405.23,299.3,1009.95
9/04/2018,170.05,90.77,1406.08,289.66,1020.09
10/04/2018,173.25,92.88,1436.22,304.7,1036.5
11/04/2018,172.44,91.86,1427.05,300.93,1025.06
12/04/2018,174.14,93.58,1448.5,294.08,1037.29
13/04/2018,174.73,93.08,1430.79,300.34,1036.04
16/04/2018,175.82,94.17,1441.5,291.21,1046.1
17/04/2018,178.24,96.07,1503.83,287.69,1079.36
18/04/2018,177.84,96.44,1527.84,293.35,1075.39
19/04/2018,172.8,96.11,1556.91,300.08,1089.45
20/04/2018,165.72,95,1527.49,290.24,1077.32
23/04/2018,165.24,95.35,1517.86,283.37,1073.81
24/04/2018,162.94,93.12,1460.09,283.46,1022.64
25/04/2018,163.65,92.31,1460.17,280.69,1022.99
26/04/2018,164.22,94.26,1517.96,285.48,1043.31
27/04/2018,162.32,95.82,1572.62,294.075,1031.45
30/04/2018,165.26,93.52,1566.13,293.9,1018.58
1/05/2018,169.1,95,1582.26,299.92,1040.75
2/05/2018,176.57,93.51,1569.68,301.15,1026.05
3/05/2018,176.89,94.07,1572.075,284.45,1026.3
4/05/2018,183.83,95.16,1580.95,294.09,1051
7/05/2018,185.16,96.22,1600.14,302.77,1059.46
8/05/2018,186.05,95.81,1592.39,301.97,1058.59
9/05/2018,187.36,96.94,1608,306.85,1088.95
10/05/2018,190.04,97.91,1609.08,305.02,1105.47
11/05/2018,188.59,97.7,1602.91,301.06,1103.38
14/05/2018,188.15,98.03,1601.54,291.97,1106.6
15/05/2018,186.44,97.32,1576.12,284.18,1084.87
16/05/2018,188.18,97.15,1587.28,286.48,1084.09
17/05/2018,186.99,96.18,1581.76,284.54,1081.26
18/05/2018,186.31,96.36,1574.37,276.82,1069.64
21/05/2018,187.63,97.6,1585.46,284.49,1084.01
22/05/2018,187.16,97.5,1581.4,275.01,1075.31
23/05/2018,188.36,98.66,1601.86,279.07,1085.96
24/05/2018,188.15,98.31,1603.07,277.85,1085.45
25/05/2018,188.58,98.36,1610.15,278.85,1084.08
29/05/2018,187.9,98.01,1612.87,283.76,1068.07
30/05/2018,187.5,98.95,1624.89,291.72,1077.47
31/05/2018,186.87,98.84,1629.62,284.73,1100
1/06/2018,190.24,100.79,1641.54,291.82,1135
4/06/2018,191.83,101.67,1665.27,296.74,1153.04
5/06/2018,193.31,102.19,1696.35,291.13,1151.02
6/06/2018,193.98,102.49,1695.75,319.5,1146.95
7/06/2018,193.46,100.88,1689.3,316.09,1134.42
8/06/2018,191.7,101.63,1683.99,317.66,1132.71
11/06/2018,191.23,101.05,1689.12,332.1,1140.9
12/06/2018,192.28,101.31,1698.75,342.77,1148.19
13/06/2018,190.7,100.85,1704.86,344.78,1144.23
14/06/2018,190.8,101.42,1723.86,357.72,1160.11
15/06/2018,188.84,100.13,1715.97,358.17,1159.27
18/06/2018,188.74,100.86,1723.79,370.83,1183.58
19/06/2018,185.69,100.86,1734.78,352.55,1178.69
20/06/2018,186.5,101.87,1750.08,362.22,1184.07
21/06/2018,185.46,101.14,1730.22,347.51,1169.44
22/06/2018,184.92,100.41,1715.67,333.63,1169.29
25/06/2018,182.17,98.39,1663.15,333.01,1139.28
26/06/2018,184.43,99.08,1691.09,342,1132.62
27/06/2018,184.16,97.54,1660.51,344.5,1116.94
28/06/2018,185.5,98.63,1701.45,349.93,1126.78
29/06/2018,185.11,98.61,1699.8,342.95,1129.19
2/07/2018,187.18,100.01,1713.78,335.07,1142.11
3/07/2018,183.92,99.05,1693.96,310.86,1116.28
5/07/2018,185.4,99.76,1699.73,309.16,1141.29
6/07/2018,187.97,101.16,1710.63,308.9,1155.08
9/07/2018,190.58,101.85,1739.02,318.51,1167.28
10/07/2018,190.35,102.12,1743.07,322.47,1167.14
