date,BTC,ETH,BNB,XRP,ADA
19/08/2017,4115.211988,296.6220895,,0.155775,
20/08/2017,4001.228632,295.1715773,,0.159505,
21/08/2017,3935.229933,322.2012201,,0.193611,
22/08/2017,4008.416685,312.1744706,,0.24087,
23/08/2017,4069.080239,316.7889202,,0.248587,
24/08/2017,4167.289177,321.7852984,,0.220536,
25/08/2017,4199.892032,329.025281,,0.218694,
26/08/2017,4123.513371,329.8657826,,0.212467,
27/08/2017,4116.468739,343.3413371,,0.203322,
28/08/2017,4216.242773,344.2011314,,0.223638,
29/08/2017,4394.063436,366.8095899,,0.218175,
30/08/2017,4553.806527,378.9063307,,0.22681,
31/08/2017,4702.938163,382.9344508,,0.254085,
1/09/2017,4863.193049,386.343057,,0.249645,
2/09/2017,4556.597777,346.3987755,,0.22457,
3/09/2017,4632.462331,349.9292404,,0.228848,
4/09/2017,4317.185188,299.7173319,,0.206462,
5/09/2017,4447.875592,318.9728041,,0.216226,
6/09/2017,4592.250278,333.20633,,0.22686,
7/09/2017,4584.820275,329.4156625,,0.223218,
8/09/2017,4285.207939,304.4751083,,0.211528,
9/09/2017,4245.607341,299.6944445,,0.210045,
10/09/2017,4132.664642,292.7796568,,0.212904,
11/09/2017,4164.976212,296.4753988,,0.214914,
12/09/2017,4130.956285,290.586532,,0.20922,
13/09/2017,3883.652001,277.3336579,,0.200845,
14/09/2017,3100.668155,214.3117136,,0.164177,
15/09/2017,3587.943122,246.9218573,,0.181167,
16/09/2017,3606.275197,244.8056118,0.107250624,0.178489,
17/09/2017,3553.432316,249.666546,0.154041291,0.178507,
18/09/2017,4012.285825,287.9610957,0.173491239,0.189366,
19/09/2017,3898.934732,280.4456323,0.168334191,0.183936,
20/09/2017,3858.020951,279.4176492,0.166627925,0.18244,
21/09/2017,3628.058588,257.4650745,0.095817027,0.171347,
22/09/2017,3622.183039,263.4697737,0.094212981,0.173483,
23/09/2017,3763.411406,283.222159,0.088289632,0.177651,
24/09/2017,3672.30508,280.6810447,0.085454539,0.175581,
25/09/2017,3866.705153,288.0857009,0.102506354,0.181323,
26/09/2017,3852.935205,283.9294531,0.089657802,0.187749,
